Title_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Other Adjustments","-2.066","0.000","-17.259","-17.259","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-d868024eead365800714f5c7734b568f84ef5b446c5f71bafad378470222c276","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"Other Adjustments","-0.696","0.000","-3.940","-3.940","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","63481da1fd9cb9f28463e1299bc23b14aa80152ac0201c2b0c835019a28ebe3d","0-355a75fe58e626fb777bdef747cecab4bf9a9f2124d3c0dcd4e32000ab4e8ecc","1-2447b7ab688afbb0c278f2f0ac9186d3f35fb85e7ead7995273893bab2dabdb6","root"
"Other Adjustments","10.175","0.000","-11.300","-11.300","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9b77283d3b613953b859520dcee05d308c0faf3b015cb415b24462e831616e41","0-585c3a52cbae842e3cc97f9ebb91914ae52939f54c146e0dad9ec1337bdb322e","2-2b0cf1c3962e2627ce07118f7e963c44f43e7312cf9f34d13badf7cfb8c20f4d","root"
"Other Adjustments","-2.730","0.000","-25.217","-25.217","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","55b8859cf5f34e103a94414ae56bc038fcc6a72c52600e8fe9b25afe5cca46cb","0-2e2c3705e26cc9f16d3ba8f735116f4d9e02cd6ce56bcfd764d6b825e72af372","3-2bcfa5a62421a72a99a9e5111bcb28a5e4ec62fae56d5786da040292c54f73ac","root"
"Other Adjustments","-0.437","0.000","-13.740","-13.740","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4c716462f93fe45ca712d6e2f48e82d8f875d118706ce2499ed27823e9cfef83","0-0720a08b495104ef1d784314f14386a1ca19b28973c28991281d7fb59eec3e2c","4-5dfeb1e3cc6f9553fe24f95aac0e74c0b81b918464113df67bf4a81d36c746e1","root"
"Other Adjustments","6.794","0.000","6.191","6.191","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00cd79e6565a52f46bdd299fdb0ce6cd63fdff6c8f4b571ac6db43b427149350","0-08ca41443a93b3ff964951cc2f3a41e207ca0afc3842794e6b9e646a436da107","5-f8b99da370c151e4c191b5d9cb61ff0694e964ec3466447d454603f6ee1f77c6","root"
"Other Adjustments","-0.015","0.000","-0.179","-0.179","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","dfcfd7bb6716fb2a6ecccbad7de13c1b1994a57625dfb7831546c52b6c160ec9","0-80bf4022dbae5e47f71e38a300d8b9a8aa41fa5b26dc7a5d125c58903154453f","6-37db5d040661b66d748cdddc2051fdac18ef3b8201aff474757c9489af60e934","root"
"Other Adjustments","-0.251","58.600","-14.958","-14.958","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ac427fae7250717d8834c2069ab72cc0942d20351b29494f0d36a8ae75458da9","0-f523c903beae9e9ee1fa6ebc9ee9b78acd0040db1d2b7bed8961e5e1155b7719","7-a821c46b33f433fa8d8b3883960e74a5876a4cec031ecacb08fc8179390ae3b2","root"
"Other Adjustments","-1.291","0.000","17.318","17.318","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","fcf69b21f05ee90624151e1ef9fcaa398b9ae9265f5db255eeeba00b31006993","0-cd62f37b86872c9284c31857fedd41f6f8593035678fe58e9c15ae68febf1fa0","8-32e4fa198ca472138d50d8a4636bd1a65b4c8dcff9c04e9c24d76955e96cbc50","root"
"Other Adjustments","-2.716","0.000","37.754","37.754","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1aa14e6143e564504e82d85ff8c5125faca02e21227120628b376e685aea3232","0-0316ef1c154258536eccef146ae6dd034cdfd8f138a3a1875cda01d249f26d83","9-04ed9c72b8f9620c6042fd50d21558065409b01eeddbdd74152cdcb3f557177a","root"
"Other Adjustments","-0.100","0.000","9.616","9.616","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1e410427c9e163e47cd72c52d7cee392a3f433f64acaf0119b23836f7cf4b19f","0-67ee0bfa2cf8b2bbb6bce0032118713995300b1c4920e803b985ff4ee43d25a7","10-55747532a09ea4400b91e5837982223f318a1e5913df2566d1845a0f085aeed3","root"
"Other Adjustments","-4.523","0.000","-11.158","-11.158","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","0-f7b319e2c3867bc78f10ace7c1e371bfaa54720c81b1163e8186757da8512f58","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"Other Adjustments","-0.068","0.000","-1.000","-1.000","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9ce67a31de059802f9f511829d8af355b59bddeedd45c3237c06c45b964a3231","0-531c75c53a1a46ac7cce46117de3eba39a30a6071829643758c7dc7e9e6d5ce2","12-6598108505289afbd31031aa7d6c056c4d9689bf9c709eaf6f81bc396c2f57ae","root"
"Other Adjustments","7.530","0.000","15.329","15.329","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7dc4e0871545af3cd5d487ee152ee3f4294edf3c4f35489d8c25dbc861091f2d","0-de8d2b2db9b5906be5f9d51d79280fed6a3422ec891c52e7355002e79d0c2f28","13-84d28f58423f257fdbd00950825e4f3f32c2a9461b7c2379e125cdd7786792c1","root"
"Other Adjustments","-0.144","0.000","-4.695","-4.695","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a6764d831d55e88b1fcaed56db23e00a58b6fd7fce072ed85f157971924460fa","0-3d03138f5ce37f05d74dec583082c08c3ece490f44fb97c156948ef6dde0e26f","14-86e351dc84c54d5b4847816990d46f1162e491ca5d5e9fa6714d2ba76b9befb0","root"
"Other Adjustments","-0.080","0.000","9.500","9.500","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9a69d99222044ba1e60a4babaa52c51a1b3d7aa8ddea8af2ae7bcd9e73b8c78e","0-3a4eb1383e5ef9b92f512a7cb343405b4aede2584c42e7f026dc0ba44ccb2318","15-e857b09eef30d03c0eea70eef1ad697d25fe3fa2a18c1cc3eccce5638ba2f131","root"
"Other Adjustments","-0.089","0.000","-13.745","-13.745","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f7d7b23e942cbb446463590cd80081af05d44b3f64df71bdb6f740b8c0e8f50","0-fa5c3324f6db247624338aa0138b1f9ce946279db56b3f037fdeba2226238bc5","16-66677806f0aeb0fde476e4718eca93ceab38a7123ea1e69a31ec7aae51763f31","root"
"Other Adjustments","7.757","0.000","-3.489","-3.489","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d2aa3b32243af78fb6a32f00e09dd7eddc98d73f0998cff5a64a575743f6446d","0-a378e20b53230eff507f42677da5f62e343326b6e1278c895b03539b84445ab3","17-a5561613fcc7f34c01c2e8dcb2e6709bbb420dfb87385b27a1d948aa2cfc9c08","root"
"Other Adjustments","-0.198","0.000","-12.117","-12.117","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2a92e4e77a99c3ec522cb831481e472470883b55280951b3202a6261f47b2b8c","0-eaa4db562f2c89b81cacdd71c019e67f31d9575a9ea2295bd450c320eec9db4c","18-7e15a48e1c9483f1a7f54508de66308f24e4f63f3b5560b8e6b3b481a2b944c3","root"
"Other Adjustments","-0.014","0.000","-1.237","-1.237","0.000","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d0d18955e64318b9cc1767ecec771b8f61190c58d006d4f2ab0808a94f616d95","0-8959b7f96f0fe9f25da2753e2dfb778d101502a4b330e7ca4ca0e8a8ad8fbee5","19-25631b7b8c18665c2bce65e4baeeeddf0845049f731687aee4df9aa75e1550c0","root"
